标题,时间,来源,正文,作者,评论数
“北京餐饮”APP将上线，从业者可免费学习疫情防控,2020-06-27,新京报,原标题：“北京餐饮”APP将上线，从业者可免费学习疫情防控 新京报讯（记者 王萍）据北京市餐饮行业协会消息，6月29日，“北京餐饮”APP将正式上线。目前APP内已上线包括餐饮行业疫情防控、垃圾分类以及复工后餐馆的防控工作、电梯消毒、公共场所防护等30余门课程。餐饮从业者只需注册就可以免费在线学习。 北京市餐饮行业协会相关负责人表示，APP中已上线的课程还包括与餐饮行业相关的政策法规、公共课，以及相关指引、资讯等。疫情发生以来，协会发布的“关于从严抓紧抓实餐饮行业疫情防控工作的通知”，以及北京市疾控预防控制中心的“疾控说防控”、北京市餐饮行业厨余垃圾分类减量倡议书等，都可以在线免费观看、学习。 据介绍，“北京餐饮”APP中的课程将不断完善，与餐饮相关的培训课件会在最短时间内上线、扩充、更新。其中，“餐饮资讯”栏目将每日更新。“目前课件开始在餐饮行业内推广，希望这个APP能成为餐饮企业培训的平台。除了部分特殊要求的课程可能会收费，所有公众课件全部免费。”北京市餐饮行业协会相关负责人表示。 新京报记者 王萍,杨杰 ,2
新疆阿克苏地区柯坪县发生3.2级地震 震源深度10千米,2020-06-27,中国新闻网,原标题：新疆阿克苏地区柯坪县发生3.2级地震 震源深度10千米 中新网6月27日电 据国家地震台网官方微博消息，中国地震台网正式测定：6月27日11时16分在新疆阿克苏地区柯坪县（北纬40.74度，东经78.76度）发生3.2级地震，震源深度10千米。,杨杰 ,0
香港发展前景 什么让英国学者马丁-雅克难以回答？,2020-06-27,央视,原标题：全球连屏丨香港发展前景 什么让英国学者马丁·雅克难以回答？ 今年“两会”期间，中国全国人大审议通过了涉港国安立法的决定。目前，全国人大常委会正在审议相关法案草案。但国际社会上，仍有一些带着强烈政治动机或意识形态偏见的声音对香港事务指手画脚，干涉中国内政。 对此，英国知名学者、剑桥大学高级研究员马丁·雅克在接受央视新闻专访时表示，“一国两制”是解决香港问题的好方法，涉港国安立法可以提升香港的稳定性和安全感。 香港问题的根源在于何处？香港的教育体系缺失了什么？ 马丁·雅克：我认为，特区政府面临一个困难但非常必要的任务：如何让港人在心中认同“一国”，而不仅仅是向他们强调“两制”。同时，涉港国安立法在解决香港问题上是必要的，但也只是中央政府诸多策略中的一部分。 香港被英国殖民统治了150多年，港人的思维更偏向英国，对内地的态度比较消极。实际上，他们被西方的历史欺骗了。香港之所以在20世纪70年代末到回归之间大放异彩，得益于中国的改革开放政策。因此，在相当长的一段时间内，香港能够作为中国的前沿城市发挥作用，香港因中国而致富，不是因英国而致富，但他们并不这样认为。 学校里，学生们学习的是英国版本的历史，是英国眼中的中国。其结果正如大家所料。年轻一代在成长过程中，学校学到的知识对世界观的形成非常重要。如果教育系统本质上，是用西方的世界观和中国观欺骗他们，会留下巨大的隐患。我认为香港的教育体系并不好，换句话说，英国的教育体系在科学和技术方面没有优势，香港（延续英国的教育体系）也有同样的问题。为什么深圳能成为一个重要的科技中心，因为中国的教育体系非常重视科学技术。不仅仅是中小学，香港的大学也存在问题。去年“修例风波”期间，大学校园曾经是暴徒的“聚集点”。 随着涉港国安立法的推进，香港会发生什么样的变化？有可能恢复往日繁荣吗？ 马丁·雅克：我认为现在很难回答这个问题。可能发生的事情是：西方企业，也有可能是一些亚洲企业，他们可能决定不再以往常的规模在香港投资。另一方面，很多中国企业可能会决定在香港上市，或者准备在香港上市，比如阿里巴巴。因为美国正在让中国企业更难在纽约证券交易所、纳斯达克等上市，中国企业在香港上市的数量肯定会增加。 我认为，涉港国安立法会鼓励企业这么做，因为香港的确定性和安全感都比以前提高了。从经济上来说，一些西方企业从香港撤出，会对香港经济产生一定的影响。但是会有更多中国企业选择在香港投资，这将有助于香港经济的发展。,杨杰 ,10
北京东南部地区目前污染加重,2020-06-27,新浪新闻综合,原标题：北京东南部地区目前污染加重 来源：北京青年报 北京青年报记者从市环保监测中心获悉，26日夜间起，北京市及京津冀东南部地区整体处于低压系统顶部或弱气压场控制，地面弱东风，湿度较大，不利于污染物扩散，污染程度逐渐加重。 凌晨前后区域东南一带首先达到轻度污染级别，白天至上午湿度区覆盖范围未发生明显变化，污染情况进一步加重。 从京津冀范围上看，天津市由于全境处于高湿度区，浓度达到中度污染级别；从北京市来看，污染主要集中在城区东部、通州全境及顺义南部地区。 最新预报显示，下午至傍晚地面天气形势变化不大，但下午随日照增强，湿度降低，预计污染程度将有所缓解，夜间随北部小范围高压系统加强，空气质量将进一步改善。,杨杰 ,9
至今40000+新冠病毒学术文章，武汉两家医院贡献前三,2020-06-27,健康时报,原标题：至今40000+新冠病毒学术文章，武汉两家医院贡献前三 6月4日，Digital Science 公司发布了一份报告“How COVID-19 is Changing Research Culture”。该报告利用多源数据，重点分析了新冠病毒相关的研究产出及区域间科研协作脉络，科研经费投入趋势以及临床试验开展情况，而此次由中国的科研人员、临床人员发表的文章贡献显著。 该报告指出，截至2020年6月1日，全球已经发表了42700篇有关COVID-19的学术文章，进行了3100项临床试验，发布了750项政策文件和超过150项科研资助项目。 其中，自2020年初开始，全球发表关于COVID-19文章最多的前三名临床医院是麻省总医院、武汉大学中南医院，武汉大学人民医院。 湖北省武汉市是最早报告疫情的城市，而位于武汉市的武汉大学中南医院发表文章数排名全球第二。该院院长王行环教授此前还担任雷神山医院院长，在王行环教授的带领下，先后接管了武汉市第七医院、武汉客厅方舱医院，连同该院及雷神山医院，构建了最多专用COVID-19救治床位的体系。 而一系列相关研究与建议的发表，对于抗击新冠疫情的作用也显而易见。早在今年2月6日，由武汉大学中南医院主导制定的快速建议指南“A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus （2019-nCoV） infected pneumonia （standard version）”就发表在国际SCI期刊《军事医学研究》（Military Medical Research）上，并得到了国际同行的广泛认可，至今仍在全球抗疫中发挥着重要的参考作用。 不仅如此，尽管美国和欧盟现在在《柳叶刀》，《新英格兰医学杂志》和《美国医学会杂志》等期刊上的出版量均超过中国，但中国受益于先发优势，研究获得了大量的引用，远超欧美。因此，尽管该领域的研究正在迅速发展，但目前仍以中国的早期出版物为基础。 但是，报告同时指出，虽然国际合作的作品比例相对稳定，但迄今为止，有关COVID-19的绝大多数研究都是在各国内部进行的。 数字科学首席执行官兼该报告的合著者Daniel Hook表示：“尽管COVID-19的情况很不幸，但它也使我们看到了一个新领域的发展。这种反应迅速而且强烈。研究世界的发展速度比许多人想象的要快。在这种极端情况下，学术交流系统中的许多问题（近年来有许多问题在不断改进）也得到强调。”,祝加贝 ,535
北京昌平区出现首例病例后，一社区单元楼已封闭管理,2020-06-27,健康时报,原标题：北京昌平区出现首例病例后，一社区单元楼已封闭管理 （健康时报记者 鲁洋）6月25日北京新增11例新冠确诊病例，昌平区出现首例确诊病例。6月26日北京市昌平区回龙观街道升级为疫情中风险地区。6月27日，健康时报记者获悉，昌平区金域国际社区内的一单元楼已封闭。 在6月26日北京市新冠肺炎疫情发布会上，公布了10例确诊病例调查结果，涉及的昌平区1例新冠确诊病例，并未公布流行病学调查结果。 6月27日，健康时报记者注意到一份昌平区金域国际社区委员会6月26日发布的紧急通知，“因回龙观街道升级为中风险区域，金域国际社区龙域北街6号院2号楼1单元涉新冠肺炎疫情，现社区紧急启动应急响应机制，对2号楼1单元实行严格封闭管理措施，涉及单元全体居民采取居家医学观察14天的措施，从6月25日24时始至7月9日24时止。同时社区居委会和物业服务中心会为居家观察人员提供基本生活保障。” 健康时报记者注意到，在6月14日回龙观社区卫生服务中心接到市疾控中心曾下发密切接触者名单8人，其中6人为回龙观街道辖区人员。这8名密切接触者均为昌平区回龙观龙域北街10号院1号楼1层果某味超市员工，而该超市只与龙域北街6号院2号楼只有一条马路之隔。 健康时报记者致电金域国际社区和物业，工作人员告诉健康时报记者，对于涉及疫情的金域国际社区龙域北街6号院2号楼1单元已实行严格封闭管理措施，1单元共有100户左右，封闭原因是涉及一名疑似病例，其他单元楼则没有出行受限。目前社区已于6月26日组织全社区居民进行核酸检测。对于6月14日涉及的果某味超市8人密切接触者此前核酸检测均是阴性。,杨杰 ,150
甘肃新增1例境外输入确诊病例，来自沙特,2020-06-27,北京日报客户端,原标题：甘肃新增1例境外输入确诊病例，来自沙特 6月15日沙特利雅得-兰州MU7792次航班253名入境人员中，今日无新增确诊病例。目前，该航班累计确诊病例19人，其中2人已治愈出院并转入集中隔离点继续医学观察。现在省级定点医院住院隔离治疗17人，在省级定点医院隔离留观密切接触者1人，在集中隔离点隔离观察235人。 6月23日沙特吉达-兰州MU7790次航班254名入境人员中，今日新增1例确诊病例。目前，该航班累计确诊病例4人，均在省级定点医院住院隔离治疗。省级定点医院隔离留观1人，在集中隔离点隔离观察249人。 上述所有入境人员均在闭环管理中。 截止6月26日20时，甘肃累计报告境外输入新冠肺炎确诊病例70例，累计治愈出院49例。 今日1例境外输入确诊病例信息： 病例23，男，50岁。入境核酸检测阴性，今日复检阳性；咽部干痒伴乏力1天，CT见左肺下叶外基地段团块状钙化影，余未见明显异常。经省级专家组会诊后诊断为新冠肺炎确诊病例，轻型。现在省级定点医院隔离治疗。,杨杰 ,1
北京新发地疫情半月全分析,2020-06-27,新京报,原标题：北京新发地疫情半月全分析 6月11日0时至6月25日24时，北京累计报告本地确诊病例280例。知道君（微信号：北京知道）梳理了发布会通报以及病例活动过的小区，获得了259个确诊病例信息，并对这些确诊病例的居住地点、感染原因、传播路径等进行分析。 居住地 出现确诊病例的街道，风险等级都会提升 截至6月25日24时，北京已经有45个街道（乡镇）出现过确诊病例。 知道君（微信号：北京知道）查询国务院小程序发现，此次疫情发生后，北京曾升级到中、高风险地区的街道（乡镇）也是45个，与出现确诊患者的街乡一一对应。目前，北京有44个地区仍保持着中、高风险等级，此轮疫情的“1号患者”唐先生所在的西城区月坛街道已经降级为低风险地区，首次出现确诊患者的海淀区四季青（地区）镇、昌平回龙观街道则升级为中风险地区。 知道君统计发现，确诊病例超过10人的街道（乡镇）至少有4个，分别是丰台区花乡（地区）、大兴区黄村镇、大兴区西红门镇、丰台区新村街道。第五是海淀区永定路街道。 目前，北京高风险地区有5个，也分别是上述五个地区。 259个病例中，丰台区花乡（地区）有128个，占几乎一半。因为新发地市场就在花乡地区，而其经营者多住在新发地周边。在花乡的100多个病例中，有69人公布居住地，其中，住在新发地经营者乐园的人最多，有30人。其次是天伦锦城、天骄俊园、宜兰园，这三个小区都在新发地周边；还有很多人居住在新发地内的经营场所。 新发地关联性 绝大多数确诊病例有新发地出入史 前往新发地采购或者因工作往来新发地的人，是将病毒带出新发地向外传播主要的原因。为方便分析，知道君（微信号：北京知道）将确诊病例感染原因分为“工作单位为新发地及周边”“经营性采购和工作原因进入新发地”“采购（多为自我采购，有的难以分辨是否为经营性采购）”“密切接触者”。 分析显示，有将近一半的确诊患者是在新发地市场或者周边餐馆工作。除了新发地市场及周边人员外，还有超四分之一的确诊患者有过新发地出入史。 知道君（微信号：北京知道）发现，目前披露的几起聚集性疫情，多因经营性采购或工作原因进出新发地引起。 6月18日的发布会就通报了这样一起疫情，某餐馆有员工7人，一人经常到新发地市场采购物品而感染，最终7人全部确诊。 截至6月17日24时，北京已经报告8起与新发地市场相关的聚集性疫情。此后通报的位于北京大兴区磁魏路1号某食品厂发生聚集性疫情，也是有人去新发地采购造成的。据6月21日发布会通报，“截至6月20日24时，大兴区孙村乡某食品公司共发现8例确诊病例，其中2人曾到过新发地市场采购。” 再比如，北水嘉伦面面俱到餐馆采购员定期从新发地市场进货。不过，该餐馆位于新发地冰鲜海鲜市场附近，就餐者多为附近冰鲜海鲜市场营业者，传播情况更为复杂一些。 同时，知道君（微信号：北京知道）发现，个人采购的确诊者所在小区，距离新发地交通都比较便利，多个小区可以公交直达。 加强检测 多名新发地人员抗体阳性 在最新通报的25日确诊病例中，多名患者进行了抗体检测，这些人都是新发地市场工作人员。 有患者核酸检测阴性，但抗体IgM、IgG均为阳性。 这名41岁男子，每日到新发地市场工作或京深市场进货。6月8日出现轻微咳嗽，自服药未就医。6月16日作为确诊病例的密切接触者被专车转运至集中隔离点。6月23日咽拭子核酸检测阴性，采集血标本检测新冠病毒抗体IgM、IgG均为阳性，由120救护车转运至北京市丰台区中西医结合医院就诊。6月25日确诊，临床分型为普通型。 有两名患者开始核酸检测呈阴性，抗体检测阳性。后来再测核酸呈阴性。 两人都是市场经营人员。一名51岁女子6月12日开始集中隔离观察，6月23日核酸检测结果阴性，血清抗体阳性。6月24日由120救护车转运至北京市丰台中西医结合医院就诊，6月25日核酸检测结果为阳性，当日确诊，临床分型为普通型。一名25岁男子6月9日出现发热、乏力等症状，自行服药后好转。6月16日被专车转运至集中隔离点，6月23日核酸检测结果阴性，血清抗体IgM阳性。6月24日由120救护车转运至北京市丰台中西医结合医院就诊，6月25日核酸检测结果为阳性，当日确诊，临床分型为普通型。 还有一人开始检测时，核酸抗体检测均呈阳性。这名25岁女子，6月7日出现头晕、发热、咳嗽等症状，自行服药后好转。6月16日作为确诊病例的密切接触者被专车转运至集中隔离点。6月23日核酸检测结果为阳性、抗体IgM阳性。6月24日由120救护车转运至丰台中西医结合医院，6月25日确诊，临床分型为普通型。 永定路70号院 传播关键一环已摸清，有人在厕所感染 在6月21日确诊的病例中有一对夫妻，妻子“6月12日曾到过永定路70号院”。 据通报，女方47岁，工作单位为天客隆超市永定路店。6月12日曾到过永定路70号院，15日超市二层停业，患者居家无外出。17日，9时到永定路二街坊的库房清卖鸡蛋未进入社区，随后，到超市发三街坊便民店购买水果和蔬菜，18日、19日，患者自述无外出。20日，与丈夫到航天中心医院发热门诊咨询，21日确诊。 据6月25日北京卫视的报道，海淀区疾控中心的流调人员通过排查发现，感染途径是永定路70号院的公共厕所。因为超市停电，厕所不能正常使用，女方12日那天去了永定路70号院的公共卫生间上厕所，恰好那栋楼之前出现过确诊病例，在其环境采样中发现了核酸检测也是阳性。 据流调人员分析，这次天客隆超市确诊病例依然与新发地市场相关联，为新发地疫情经三手传染后所致，“新发地市场—海淀区玉泉东市场—永定路70号院—天客隆超市商家”这一传播链逐渐明晰。 目前，这条传播链已公布的信息如下： 6月13日，玉泉东市场海鲜市场31岁女性确诊，其丈夫有多次新发地海鲜市场暴露史，但其本人无新发地市场暴露史。他们住在丰台区卢沟桥街道青塔秀园。 6月14日海淀区玉泉东市场有三人确诊。其中一人10号就开始出现症状，他住海淀区永定路，10日出现畏寒等症状，13日主动告知社区防控组，核酸检测阳性会诊后确诊。另一名经营者51岁，距离其摊位2米左右有两家从新发地市场进货摊位，她住在石景山区八宝山街道玉泉路某小区。当天还有一商户在对全市农贸市场新冠病毒检测中检出核酸阳性。 6月16日确诊小区中涉及了永定路70号院。 6月18日确诊患者中，有一名事业单位人员住海淀区永定路街道，为14日玉泉东市场确诊病例的密切接触者。当天北京公布的确诊活动小区中，包括了永定路70号院。 之后就是夫妻二人确诊，女方在天客隆超市工作，她还有一名密切接触者在22日确诊，但这人也曾于6月12日到过永定路70号院。 知道君（微信号：北京知道）发现，这是目前已公开的病例传播链中最长的一条。 关键节点 大部分传播途径很快明确并控制住 知道君发现，大部分确诊患者的传播途径很快明确并控制住，比如北京红花大海碗餐饮管理有限责任公司的确诊者，目前只有一名密接者确诊，工作及居住地点均为门头沟区永定镇合景领汇长安项目工地的确诊者，同宿舍也只有1人确诊。 目前已经详细通报的确诊者信息中，还有几名确诊患者的感染源不太清楚，其中，每天接50单的“饿了么”小哥引发关注。 6月21日确诊患者中，有一名“饿了么”小哥，活动范围很大。送餐范围西起南苑路，东至周庄村，北起天坛东门，南至榴乡桥，每日7时至21时工作，然后骑电动车到首开福茂商场接其妻子回家。18日11时至13时在南城香（芳古路店）、方庄市场、住家附近肖村菜店购物，后回家，当日无接单记录。19日10时上班，曾在每日优鲜（顺四条店）、南城香（成寿寺店）、老家肉饼（中海城店）、果多美（北京刘家窑店）等店接单，15时在住家附近鸿熹超市购物，22时在住家附近水果摊购物。20日10时上班，22时下班，曾在果多美（方庄店）、每日优鲜（顺四条店）等店接单。 20日确诊患者中，涉及到凯德mall首地大峡谷店的两名确诊患者，感染途径也尚未公布。丰台区马家楼众兴花木批发中心有一人24日确诊，该病例未有明确感染途径公布，不过此地址距新发地较近。 注：文中数据截止到6月25日24时，并非完整确诊数据,杨杰 ,140
江苏发布暴雨警报,2020-06-27,央视,原标题：江苏发布暴雨警报 今天（27日）下午到夜里，江淮之间北部和淮北地区多云到阴有分散性雷阵雨，其他地区中到大雨，局部暴雨，全省偏东风3级左右，有雷雨时雷雨地区短时阵风7~8级。 今天（27日）最高温度：淮北地区31~32℃，其他地区29~30℃，明晨最低温度：长江以北东部地区23℃左右，其他地区24~25℃。（总台央视记者 黄成）,杨杰 ,0
天津昨日新增无症状感染者2例 无新增本地确诊,2020-06-27,新浪新闻综合,原标题：天津昨日新增无症状感染者2例 无新增本地确诊 来源：北京青年报 2020年6月26日0-24时，天津市无新增报告境外输入性新型冠状病毒肺炎确诊病例。 截至6月26日24时，天津市累计报告境外输入性新型冠状病毒肺炎确诊病例61例，出院病例60例，在院1例（为普通型）。 境外输入性确诊病例中：英国输入病例18例、美国输入病例17例、法国输入病例12例、西班牙输入病例7例、加拿大输入病例2例、瑞士输入病例1例、菲律宾输入病例1例、德国输入病例1例、科特迪瓦输入病例1例，塞尔维亚输入病例1例。（其中中国籍57例、美国籍2例、法国籍1例、菲律宾籍1例） 2020年6月26日0-24时，天津市无新增本地新冠肺炎确诊病例。 截至6月26日24时，天津市累计报告新型冠状病毒肺炎确诊病例137例，出院病例133例，死亡病例3例。现有在院治疗确诊病例1例（为普通型）。其中： 确诊病例中，宝坻区60例、河东区15例、河北区12例、北辰区7例、和平区6例、南开区6例、河西区4例、宁河区4例、东丽区4例、西青区4例、滨海新区3例、红桥区2例、武清区2例、津南区2例、外地来津6例； 出院病例中，宝坻区58例、河东区14例、河北区12例、和平区6例、南开区6例、北辰区6例、河西区4例、宁河区4例、东丽区4例、西青区4例、滨海新区3例、红桥区2例、武清区2例、津南区2例、外地来津6例。 我市新增无症状感染者2例，累计28例（境外输入27例），其中解除医学观察18例、尚在医学观察7例、转为确诊病例3例。 目前累计排追踪到密切接触者4610人，尚有664人正在接受医学观察。 天津市卫生健康委员会 2020年6月27日,杨杰 ,2
何福洲任江西赣州市委常委,2020-06-27,环球网,原标题：何福洲任赣州市委常委 6月27日，记者获悉，何福洲已任赣州市委常委。此前，6月23日，赣州市第五届人民代表大会常务委员会第二十九次会议决定接受何福洲同志辞去赣州市人民政府副市长职务的请求，并报赣州市第五届人民代表大会第六次会议备案。 何福洲，男，汉族，1963年9月出生，江西瑞金人，1984年6月加入中国共产党，1984年8月参加工作，省委党校研究生学历，经济学学士。 1980.09-1984.08兰州大学经济系经济管理专业学习 1984.08-1985.08江西省瑞金县委农工部干部 1985.08-1986.04江西省瑞金县委办公室副科级秘书 1986.04-1988.01江西省瑞金县委办公室副主任（其间：1987.02-1988.01兼任瑞金县合龙乡合龙村党支部副书记） 1988.01-1989.04江西省瑞金县叶坪乡党委副书记 1989.04-1990.06江西省瑞金县财政局副局长 1990.06-1992.11江西省瑞金县计委副主任 1992.11-1994.09江西省瑞金市财政局局长 1994.09-1996.01江西省瑞金市财政局局长兼市地税局局长 1996.01-1997.11江西省会昌县政府副县长 1997.11-2001.01江西省会昌县委常委、副县长 2001.01-2004.05江西省上犹县委副书记、县长（1999.09-2001.12江西省委党校行政管理专业学习；2003.09-2003.12江西省委党校第23期中青班学习） 2004.05-2009.02江西省上犹县委书记 2009.02-2009.04江西省赣州市劳动和社会保障局党组书记 2009.04-2010.01江西省赣州市劳动和社会保障局局长、党组书记 2010.01-2010.02江西省赣州市人力资源和社会保障局党组副书记 2010.02-2011.09江西省赣州市人力资源和社会保障局局长、党组副书记 2011.09-2012.04江西省赣州市人大常委会副主任，市人力资源和社会保障局局长、党组副书记 2012.04—2016.11江西省赣州市人大常委会副主任、党组成员（其间：2013.03-2014.01挂职任工业和信息化部财务司副司长） 2016.11-2020.06江西省赣州市政府副市长、党组成员 来源：中国江西网,杨杰 ,0
警察献血反被辱！香港医管局：致歉并展开调查,2020-06-27,北京日报客户端,原标题：警察献血反被辱！香港医管局：致歉并展开调查 近日，香港警察主动献血，却在献血站遭受侮辱一事引发众多香港市民愤怒。26日，香港医管局回应称，已就当天事情展开调查。医管局对此感到遗憾并向相关警务人员致歉，表示假如调查确定有员工存在不专业的行为，会按人力资源程序严肃跟进。 香港医管局称，输血服务中心的日常运作及员工，归医管局直接管辖。医管局收到投诉称当天一名员工的不当行为，让在场献血人士感到不适，有关献血活动提早结束。医管局对事件感到遗憾，并重申公立医院的医护人员，必须恪守一视同仁原则，为香港市民提供专业的服务。 香港特区政府食物及卫生局表示，对于有输血服务中心职员在辅警总部举行的献血活动上，存在欠专业的行为表示遗憾，已要求医管局及输血服务中心，根据既定机制进行调查，严肃跟进事件。食物及卫生局称，香港纪律部队人员一直十分支持和积极参与献血，希望个别事件不会影响献血活动。 据港媒报道，受到黑暴和疫情等因素影响，香港献血人数锐减，血库存量多次告急。与香港红十字会输血服务中心合作多年的警队，主动安排警员献血救急。然而，23日在九龙湾辅警总部的捐血站，一名身穿红十字会制服的女抽血员疑刻意侮辱警员。当时，她身上佩戴多种黑暴饰物，其中包括有侮辱抹黑香港警察符号的锁匙扣牌等。现场另有红会职员对警员态度恶劣，随手将献血纪念品以“扔”的方式交给警员，让现场辅警深感愤怒。在场辅警主管交涉无果，为维护警队尊严，叫停了献血活动。香港红十字会此前回应事件时，仅以“误会”形容，并向警方致歉。,杨杰 ,4642
华为获准在英国建研发中心 美官员“打招呼”过问,2020-06-27,参考消息,原标题：华为获准在英国建研发中心 美官员“打招呼”过问 参考消息网6月27日报道 英媒称，华为在英国南剑桥郡建设新研发中心的规划申请已获批准，它还宣布将把最初的投资增加一倍，达到10亿英镑（1英镑约合8.83元人民币——本网注）。 据英国《泰晤士报》网站6月25日报道，英国南剑桥郡区议会已经批准这家中国电信巨头建造研发中心的一期工程，该中心将位于“硅沼泽”地区的中心地带。 报道称，它将聚焦光器件和光模块的研发与制造。光电子技术是光纤通信系统的一项关键技术。 华为的一名消息人士说，新的研发中心将研发光学芯片，但其研发活动将不涉及美国在拟议制裁中针对的硅芯片。 报道称，特朗普政府对这项最初计划为4亿英镑的投资表达了安全方面的担忧。 美国负责经济事务的副国务卿基思·克拉赫说，英国允许建设该研发中心会使情况“越来越糟”。 报道指出，通常英国区议会就可以批准规划申请，但英国政府仍拥有“召回”批准和统一决策的特权。 华为副总裁张国威说，早在有关华为和5G的话题在英国被提出来之前，华为就开始计划建造该研发中心。 另据英国《金融时报》网站6月25日报道，在华为公司获准在英国投资10亿英镑新建一个芯片研究和制造设施后，美国就这家中国企业构成的安全风险再次发出警告，并表示英国的决定可能动摇美国对英国的信任。 报道称，美国官员直接向英国政界人士游说，反对华为在英国的投资计划。 英国议会下院外交委员会主席、保守党议员汤姆·图根达特说，美国高官曾直接与他联系，表达对华为在英建设新设施的担忧。“他们担心华为可能在英国测试美国芯片。”,刘光博 ,7187
应急管理部：引导社会应急力量参与防汛抗旱工作,2020-06-27,中国新闻网,原标题：应急管理部：引导社会应急力量参与防汛抗旱工作 中新网6月27日电 据国家应急管理部网站消息，为进一步引导社会应急力量参与防汛抗旱工作，应急管理部日前下发《关于进一步引导社会应急力量参与防汛抗旱工作的通知》，从全面掌握情况、畅通信息渠道、有序参与救援和加强安全工作等方面，对引导社会应急力量参与防汛抗旱工作提出要求。 当前，全国已全面进入汛期，强降雨等极端天气频发，南方多地发生持续强降雨，部分地区遭受严重洪涝灾害；同时，一些地方持续高温少雨天气导致旱情严重，防汛抗旱到了关键阶段。 《通知》要求，各地应急管理部门要充分发挥社会应急力量组织灵活、贴近基层、反应迅速的优势，配合常备应急力量开展抢险救援；指导社会应急力量参与重点目标巡护、风险隐患排查和群众转移、人员搜救、物资转运、道路疏通等工作；教育引导社会应急力量严格落实安全防护措施，树立安全风险意识，在救援行动时对风险隐患进行认真评估，明确紧急避险措施，防止盲目救援现象发生。 据初步统计，截至目前全国累计120余支社会应急力量、3500余名救援队员以及大量城乡社区应急志愿者，参与了广西、湖南、重庆等地暴雨洪涝灾害抢险救援和台风“鹦鹉”防御工作，为保护人民生命财产安全发挥了积极作用。,杨杰 ,1
北京疾控发布重点防控措施指引，这6项需记牢！,2020-06-27,北京日报客户端,原标题：北京疾控发布重点防控措施指引，这6项需记牢！ 北京市疾控中心新近发布《公众需要始终坚持的重点防控措施指引》，建议公众要始终坚持六项重点防控举措，包括：坚持常戴口罩，保持社交距离，保持手卫生，配合做好健康监测，做好饮食卫生，做好日常清洁和消毒。 来看具体内容： 常戴口罩 1。职业防护以及因工作需要与公众频繁近距离交流和接触的人员，如交警、行业执法人员、社区工作人员、商业服务人员等，按岗位要求要坚持佩戴口罩。 2。罹患任何呼吸道感染性疾病，如流感、普通感冒等的人员要尽量避免前往公共场所，必须前往时一定要佩戴口罩。 3。护理老人、婴幼儿和长期卧床不起病人的护理人员，在罹患呼吸道感染性疾病时，暂停护理；必须护理时应佩戴医用外科口罩，并保持手卫生。 4。任何人前往医院就诊或陪同他人前往医院时需佩戴医用外科口罩。 5。建议大家外出时应随身携带口罩，在遇到自己无法确定风险（如户外景区部分景点人员密度过大）、行业主管部门有专门戴口罩相关规定（如乘坐交通工具）的情况下，应及时佩戴口罩。 6。佩戴口罩的类型和相关注意事项可参阅北京市疾控中心关于口罩方面的相关指引。 保持社交距离 1。有条件的餐饮、美容美发、图书馆、美术馆等场所可采取提倡预约到店进馆，合理安排时间，避免人员聚集。 2。在取餐（饮）、结账等人员易聚集区域划设“一米线”，提倡服务员桌前结账，避免控制人员聚集。 3。举办宣传促销活动时，应引导顾客保持社交距离，避免顾客长时间聚集在一个地方。 4。公园、景区、农家乐等休闲娱乐活动场所，可通过预约、限量、错峰等方式，控制人流密度。 5。公众在公共场所要时刻听从管理人员的要求，注意保持社交距离，提高自我保护意识。 保持手卫生 1。日常生活中公众要养成在饮食前后、如厕前后、碰触公共物品或部位后及时洗手或用免洗手消毒剂洁手的好习惯。 2。如果怀疑接触了可能被污染的物品后，必须立即洗手，或用免洗手消毒剂消毒。 3。食品烹饪制作过程中除了要注意生熟分开外，在清洗、加工生肉、禽蛋、水产品过程中要随时洗手，特别是在制作直接入口食品前一定要先洗手。 4。清洁双手前尽量不要触碰口、眼、鼻；咳嗽、打喷嚏时尽量不要手直接遮掩，可用肘部或纸巾遮掩。 配合做好健康监测 1。所有公众都要配合社区、公共场所、单位开展的健康监测，按规定出示“健康宝”，配合体温监测。 2。出现发热、干咳等症状时，要参照《新型冠状病毒肺炎流行期间公众出现发热呼吸道症状后的就诊指引》及时就医排查。学生、工作人员等不得带病上课、上班。 做好饮食卫生 1。外出就餐要选择正规商家，避免生食或半生食。 2。家庭烹饪购买食物和原材料时要选择正规商家的商品。烹饪过程中要注意生熟分开。 3。动物源性类（含牛羊肉、禽肉、水产品）食品要注意煮熟煮透。处理过动物源性类食品的刀、案板等要及时清洗消毒。 4。生吃或半生吃的瓜果蔬菜要用流水清洗后食用。 做好日常清洁和消毒 1。每日开窗通风2~3次，每次不少于30分钟，保持室内空气流通。 2。采取湿式打扫方式，保持居室环境整洁卫生。 3。家中使用分体式空调应定期对过滤网和表冷器进行清洗或消毒。 4。每日及时清理生活垃圾，勿将垃圾堆放到楼道，应投放至小区垃圾桶内。,杨杰 ,4643
